drydown_event_id,Van Genuchten R2,Exponential Decay R2,Linear Regression R2,Hybrid Model R2,Best Model
0,-0.07623720278291701,0.004416330499480536,0.07929797467290156,0.08702366915304205,Hybrid Model
1,0.7400467226721024,,0.6224467344008657,,Van Genuchten
2,-0.30806953861789554,0.6877065767432753,0.6456669210521597,0.6877877038468589,Hybrid Model
3,0.8756377169057339,,0.584595061638822,,Van Genuchten
4,-0.3816878451830843,,0.444203581268964,,Linear Regression
5,0.7548575296452372,,0.5225478596609923,,Van Genuchten
6,-0.32793005958237065,,0.7233009467214212,,Linear Regression
7,0.8052382751467804,,0.5699001109113957,,Van Genuchten
9,-9.953005312235419e-05,0.08501236460339512,0.08501748073999826,0.08501237193334288,Linear Regression
11,-0.1295493551678566,,0.3321662581534547,,Linear Regression
13,0.7914059008458341,,0.6359775791353693,,Van Genuchten
14,-0.0005261823911371089,,0.16612061757882612,,Linear Regression
16,-0.0687561935303751,0.043234365276869746,0.04323786940623153,0.04323436539072911,Linear Regression
18,0.023919947229689376,0.23019405660516612,0.15915504539577752,0.23033530046340434,Hybrid Model
20,-0.08710204908445607,0.10585432165503705,0.10586332063444026,0.10585433230770269,Linear Regression
22,0.5035970967598151,0.35083890246574534,0.08333331923237053,0.38936818002967777,Van Genuchten
24,-0.036090067315835306,0.024982006045204175,0.024989711935898162,0.02498200913630033,Linear Regression
26,-0.21342377980080074,,0.7499999047793326,,Linear Regression
30,0.3809772399992962,-1.679660410758288e-09,-2.220446049250313e-16,-4.028111177944993e-12,Van Genuchten
32,-0.03927698227366583,0.03577969162459871,0.035780441410226405,0.03577969321443508,Linear Regression
34,0.49558130940975,,0.3999999492156441,,Van Genuchten
36,0.839820976729293,0.7558655212352965,0.624566431611828,0.7566353712035186,Van Genuchten
38,-0.1544424348787452,,0.13944142611157062,,Linear Regression
39,-0.06173538212731833,0.2524100214519187,0.2524303176370536,0.2524100232836187,Linear Regression
40,0.09730963455624853,0.053682684522922575,0.053685992888451994,0.05368268551784694,Van Genuchten
42,0.7548456800853833,,0.4602509338945485,,Van Genuchten
44,-0.44225205190463934,,0.33312701735722094,,Linear Regression
46,-0.1433541546630881,0.02443945514331658,0.024444691782647188,0.02443946089313409,Linear Regression
47,0.7830729308788964,0.40737020063411544,0.407393155359309,0.40737020134033175,Van Genuchten
48,-0.14524622165408108,0.17527692567528053,0.1752920260820926,0.17527692570858922,Linear Regression
49,0.9784761106306145,0.9325319646904203,0.8830625364295744,0.9325536845119741,Van Genuchten
50,-0.21786020190468314,,0.640131733216913,,Linear Regression
51,0.9820243801551977,0.9796444277740958,0.9283406522907293,0.9796481696909418,Van Genuchten
53,-0.17978966904274296,0.00031269361013930297,0.00031332326045174774,0.0003127002042641047,Linear Regression
